"HOME";"All points";"Two points";"Thre points";"Free throws";"Attack jumps";"Defending jumps";"Assissts";"Stolen balls";"Lost balls";"Blockages fouls";"Personal fouls";"AWAY";"All points";"Two points";"Thre points";"Free throws";"Attack jumps";"Defending jumps";"Assissts";"Stolen balls";"Lost balls";"Blockages fouls";"Personal fouls";"WINNER"
"MIL";95;0,480426917257867;0,307094384803363;0,764391568001817;11;30;21;9;15;4;23;"WAS";99;0,489308664416618;0,352465213378526;0,728753175245595;10;32;24;8;13;4;23;-11
"NYK";95;0,483374549194675;0,424958346919123;0,7855137589326;10;27;21;6;13;3;24;"PHI";88;0,457694091518417;0,298688345703888;0,642144694770113;10;28;19;9;17;4;22;8
"ORL";96;0,486685496952236;0,386987055428232;0,712137751786875;9;33;20;6;15;3;22;"MIA";97;0,507619028958539;0,382659185853166;0,742456082090593;7;28;21;8;13;3;20;-7
"SAS";97;0,492070541342392;0,340055634054542;0,80074829588816;9;34;23;7;14;5;19;"BKN";100;0,496881400096233;0,337146868775714;0,819840406511438;9;32;19;6;14;4;21;12
"MEM";99;0,47619722976588;0,37709246377977;0,798126911069914;11;31;21;8;12;3;19;"LAC";102;0,522232800684036;0,366027099149695;0,744450664221526;6;30;22;7;11;5;21;16
"OKC";89;0,459051448214459;0,301637467496533;0,662458565407132;10;32;18;5;14;5;22;"GSW";106;0,53657375755409;0,377792530857715;0,792380230601012;8;35;25;8;17;6;21;-5
"TOR";106;0,489616769570339;0,35063526685206;0,801130739543633;10;29;19;8;11;4;22;"PHX";104;0,503538541089431;0,345038541568019;0,826816578971461;10;32;20;7;14;3;23;4
"MIA";97;0,498776201691549;0,392507526290135;0,754962912470717;7;28;20;8;13;3;20;"GSW";107;0,544398689460732;0,384445852659868;0,781595129250433;8;36;25;8;17;6;21;-17
"CLE";102;0,489102883962495;0,350006463239377;0,784629747782006;10;30;21;7;13;4;18;"WAS";98;0,484024113834933;0,361728424654121;0,728317768661025;10;31;24;8;14;4;23;26
"DET";92;0,444716771592;0,342536153028384;0,671198649303912;11;32;18;5;13;4;20;"LAC";103;0,521607706708765;0,377831901311984;0,762912599407925;7;30;23;7;11;4;21;-6
"OKC";90;0,46106248708702;0,311631279624154;0,652304905069186;10;32;18;5;14;5;22;"UTA";95;0,509655738200561;0,32367279932817;0,744882781066158;10;30;20;7;14;5;18;15
"SAS";97;0,50050618064118;0,339575469717312;0,790350018595656;9;35;23;7;14;5;19;"IND";92;0,460142464402178;0,339521940076479;0,728089706589707;12;33;18;4;14;5;20;6
"BOS";104;0,529253707773824;0,303155694386906;0,766485215908302;11;31;25;8;13;3;21;"CHI";101;0,489407231307211;0,360422398250501;0,74371297882647;10;32;21;6;13;6;20;-7
"DEN";105;0,486548676860071;0,347025241467599;0,74552223245497;12;32;20;7;14;5;24;"PHX";105;0,49789649592527;0,355494365322165;0,823816231904211;10;32;20;7;14;4;24;25
"POR";104;0,487614922396608;0,383596124069082;0,792455237680298;12;35;23;5;13;5;19;"MEM";100;0,484408734374431;0,373006605107998;0,791822585647713;10;32;21;8;12;3;19;-13
"BOS";103;0,522505772125383;0,305311240025937;0,764117224295804;11;31;25;7;13;3;21;"SAS";99;0,502050155284878;0,354820843694956;0,797806266271199;9;34;23;7;14;5;18;-22
"NYK";93;0,478586032383631;0,386244849304985;0,763269960651282;11;28;20;6;14;3;24;"MIA";96;0,496939423779705;0,386997545027436;0,7460841820542;8;28;20;8;13;3;20;-7
"PHX";104;0,495659308298536;0,350701943317087;0,824344959761385;10;32;20;7;14;4;23;"ORL";94;0,478017777341724;0,374797142142343;0,724231558428234;9;33;19;6;15;3;21;-3
"WAS";98;0,487016087813114;0,375448775081128;0,72842388091173;10;31;24;8;14;4;23;"MIA";95;0,504178281204428;0,369580577138122;0,737490994874541;7;28;20;8;13;3;20;21
"PHX";105;0,496319172141322;0,357507104195135;0,817395629895401;10;32;20;7;14;4;23;"IND";93;0,461571959835652;0,331594623723406;0,739579172642898;12;33;19;4;14;4;20;17
"HOU";97;0,481916724715574;0,355774893690108;0,707789349400715;12;31;20;9;16;5;23;"MEM";100;0,492674687088639;0,352928948130186;0,772478394767397;10;31;22;8;12;3;19;9
"UTA";96;0,508955628265452;0,325615857746696;0,741464287723973;11;29;20;6;14;4;18;"TOR";109;0,494897785201552;0,372990097017794;0,807158557406767;10;30;19;8;11;4;22;-19
"GSW";106;0,533421113313508;0,383776583042261;0,761295991084797;9;36;26;8;16;6;20;"NOP";100;0,481520946308593;0,326221009559655;0,732189918946582;12;30;21;8;11;6;21;27
"NYK";93;0,476756035353423;0,382647836901959;0,771466774109963;11;28;21;6;14;3;24;"CLE";102;0,502921978005605;0,347122502873138;0,772237358378228;9;30;21;7;13;4;18;-3
"BKN";97;0,485487575250458;0,325132879107685;0,786453938815766;9;33;19;6;14;4;20;"ATL";103;0,521241412036671;0,377133718270405;0,782883111607536;8;30;25;8;13;5;19;-23
"CHA";94;0,46370710137988;0,306938832637278;0,735270131064536;9;32;21;5;10;4;18;"NYK";93;0,476609757980704;0,386071532980221;0,773691300018146;11;28;21;6;14;3;23;1
"DAL";109;0,541239052151154;0,338895901740822;0,765226661728176;11;30;23;7;11;5;20;"PHX";105;0,501132843163886;0,364631748985379;0,820643495459454;9;32;20;7;14;4;23;-12
"LAC";106;0,539102307661849;0,389580368737195;0,760447561286222;7;31;24;7;11;4;21;"NOP";100;0,484009548706654;0,327421291637258;0,727068256782883;12;30;21;7;11;5;21;20
"SAS";101;0,495999537407129;0,367358811708102;0,800370013016959;9;35;24;7;13;5;19;"MIN";100;0,459385316901845;0,337589732249175;0,744280383384869;11;28;21;9;14;3;22;22
"ATL";103;0,516614671052285;0,376777752591456;0,780459900747306;8;30;25;8;13;4;19;"DEN";103;0,489141899844944;0,332362950416837;0,743682214002398;12;32;20;7;14;4;24;12
"LAL";102;0,470487590207321;0,330878291459321;0,743263188202377;12;29;19;7;12;4;22;"NOP";100;0,486875442904279;0,3335804049429;0,723889225724135;12;31;22;7;11;5;20;-17
"NYK";93;0,482218405345217;0,380484549423704;0,777484552614724;10;28;21;6;13;3;23;"POR";103;0,491445250348547;0,363803306181672;0,784477992066806;11;35;23;6;13;5;19;-4
"IND";93;0,459654871906437;0,324313503281031;0,726663824788282;11;34;19;5;14;4;21;"ATL";103;0,518462508928242;0,379367436390454;0,776622090895126;8;31;25;8;13;5;19;-16
"SAC";101;0,49125479781771;0,32279755193289;0,790489091620589;11;33;19;6;15;3;23;"UTA";96;0,503921110331995;0,326817708829644;0,73250213149899;11;29;20;6;14;5;18;9
"TOR";108;0,500248021736376;0,366327259495176;0,795721453417289;10;30;20;7;11;4;22;"DEN";103;0,487084949659277;0,332409159127146;0,743189410161014;12;32;20;7;14;4;24;5
"DET";92;0,435114513442498;0,329621519581638;0,68277250577392;12;32;19;6;13;4;19;"POR";103;0,492230548328926;0,366887502485947;0,788788563873149;11;35;23;6;13;5;19;-12
"ATL";103;0,515631741524165;0,377175336244877;0,772607119533819;8;31;25;9;13;4;19;"PHI";91;0,463567911210332;0,28551672992608;0,665497038774055;11;29;20;10;17;5;22;16
"CHA";94;0,463394518320974;0,302526779382441;0,73802409855079;9;32;20;5;10;4;18;"BOS";104;0,504964568340678;0,336325013643204;0,763173059985566;10;33;25;8;14;3;21;9
"DAL";110;0,544712244841588;0,349270089138426;0,771970866974707;11;30;23;7;11;5;20;"NOP";100;0,489328959069335;0,333027773784317;0,731259971015365;12;31;21;7;11;5;20;5
"MIN";99;0,455581274907823;0,318064591804088;0,742312295919146;12;28;21;9;14;3;21;"POR";102;0,491068553707915;0,363197810814507;0,790813326121339;11;35;23;6;13;5;19;8
"MEM";101;0,493603295863314;0,379377764087868;0,781553346836495;10;31;21;8;12;4;19;"CHA";94;0,461971984098752;0,304818342886448;0,736464080603195;9;32;20;5;10;4;18;6
"HOU";99;0,484531920951169;0,351240221258266;0,70806229698445;12;31;19;9;16;5;23;"DEN";103;0,484309804296611;0,329496453418547;0,735977844951918;12;32;21;7;13;4;24;12
"IND";93;0,454754188983877;0,323925830522417;0,738113867111354;11;34;19;5;13;4;20;"POR";102;0,490305634848693;0,366019561874083;0,78993746813648;11;34;23;6;13;5;19;-10
"SAC";100;0,482680965767264;0,336215418605391;0,775400028634671;11;33;19;5;15;3;22;"DET";93;0,441074327079106;0,325764170727612;0,692702494221907;12;32;19;6;13;4;19;-5
"ATL";102;0,507410665971824;0,369194021598261;0,777667485946485;8;31;25;8;13;4;18;"CHI";102;0,493103919479511;0,355495348206899;0,757387184426693;10;34;22;5;14;5;19;7
"PHI";91;0,457767070897278;0,288517614875796;0,676701832363339;11;30;20;10;17;5;22;"BOS";104;0,504548727588112;0,331121913229359;0,759017356119634;10;33;25;8;14;3;21;-18
"BOS";104;0,508983886260332;0,332743614942499;0,75983302662651;10;33;25;8;14;4;21;"ORL";93;0,482050102199555;0,371458606415208;0,739691142538887;9;32;19;6;14;3;20;17
"CLE";103;0,504636848398288;0,3493319998637;0,764613553134265;10;30;22;7;12;4;18;"ATL";103;0,514614239332951;0,377283403591473;0,779060786508626;8;32;25;8;13;4;18;-29
"POR";102;0,491440710607895;0,364527161536686;0,782283729931624;11;34;23;6;13;5;19;"MIL";99;0,494529689823618;0,359277821540285;0,78629455792775;10;29;22;9;15;4;23;7
"SAS";101;0,494393522400365;0,370093824891535;0,770086643025766;10;34;24;7;13;5;19;"MEM";103;0,492643766796762;0,37987603842093;0,781027875319151;10;32;22;8;12;4;19;-1
"BOS";104;0,514657944762926;0,333372051276417;0,757935221945644;10;33;25;8;14;4;21;"MIN";98;0,455766550340326;0,319888542829719;0,72260636798095;12;28;21;9;14;4;20;16
"CLE";102;0,501055148047262;0,350358719869152;0,767132459284756;10;30;22;7;12;4;18;"BKN";95;0,483761811846553;0,328676145878967;0,750657498298416;10;32;20;6;14;4;20;4
"MIA";94;0,502567250272374;0,363801807152452;0,725066352709341;8;27;19;8;13;3;20;"WAS";101;0,493382764720326;0,38429029060608;0,721442528353637;10;32;25;8;14;5;22;-2
"NOP";102;0,498106655870658;0,334470336619852;0,752767030646388;12;30;21;7;11;6;19;"POR";103;0,493956850326378;0,3646119561208;0,781996382762595;11;35;23;6;13;5;19;-26
"CLE";102;0,505977344586387;0,356114153720338;0,760704287773804;10;30;23;6;12;4;18;"MEM";102;0,492261114007715;0,359749893124793;0,785210995665881;10;32;22;8;12;4;19;14
"MEM";101;0,492254056081135;0,357771247873442;0,788913777566702;10;32;22;8;11;4;19;"UTA";96;0,503023527296777;0,335084018190861;0,748328894880159;11;30;20;6;14;5;18;-6
"SAS";102;0,49619839952258;0,373049174801845;0,774700298714685;10;34;24;7;13;5;19;"LAC";106;0,526735303941109;0,380177857221904;0,761084204087767;8;31;24;7;11;4;21;7
"IND";93;0,459391854839834;0,322413158183253;0,73809059054781;11;34;20;5;13;4;21;"NOP";101;0,497334865258582;0,33022245543272;0,753885175073901;11;31;21;7;11;5;19;12
"MIL";99;0,497984213999424;0,366231947090948;0,776026538525262;10;29;22;8;16;3;23;"CHA";96;0,466542270419355;0,325054109037717;0,722612498516208;9;32;20;5;10;4;18;-7
"OKC";97;0,487271868175168;0,310004257842274;0,712706453189521;11;33;19;6;14;5;22;"POR";103;0,489019590916865;0,370929741284232;0,791900327615459;11;35;22;6;13;5;19;-4
"LAC";106;0,520527745919831;0,376851344901363;0,757695487563329;8;31;24;7;11;4;21;"GSW";107;0,531285718548951;0,370255506178077;0,775275808133739;10;35;25;8;15;6;20;14
"MIA";94;0,503331596441647;0,358312957328538;0,729725797545664;8;27;19;8;13;3;20;"CLE";103;0,509070060138705;0,356776329553501;0,757897383263778;10;30;22;7;13;4;18;10
"ATL";102;0,513981920105518;0,375199093136098;0,774149282293972;8;32;25;8;13;4;18;"MIL";99;0,499162517977221;0,368059303240548;0,777695219125145;10;29;22;9;16;3;23;-30
"BOS";103;0,510836077201795;0,331153578590309;0,758382916430494;10;33;25;8;14;4;21;"BKN";96;0,491356378979479;0,328968090911604;0,748343913417393;9;32;21;7;14;4;20;-2
"DET";95;0,452736968979867;0,329190500194728;0,679285246203872;12;32;20;7;13;4;20;"IND";94;0,461539110472157;0,326666052910478;0,737729995105307;11;34;20;5;13;4;21;10
"CHA";95;0,461251582672498;0,321555994476144;0,725895838838019;9;32;20;5;10;4;18;"ORL";93;0,480423765404026;0,377821323291746;0,727177552650474;8;32;19;6;14;3;20;-8
"SAC";102;0,490607815888563;0,346681843808656;0,773258723640555;11;33;19;6;15;3;22;"NYK";95;0,484538680024274;0,374737308979336;0,791588078929047;10;28;21;7;13;4;23;6
"POR";104;0,490400310929005;0,374716916691694;0,792629771425207;11;35;23;6;13;5;19;"NYK";94;0,480874973467064;0,371237974139334;0,787802581587763;10;28;21;7;13;3;22;22
"HOU";100;0,48866247889135;0,346664453072426;0,710199781695662;12;32;20;9;16;4;23;"WAS";100;0,491176850642934;0,388121945468437;0,720459085614895;10;32;24;8;13;5;21;-1
"IND";94;0,462616760605462;0,333893655372804;0,733536552950908;10;34;20;5;13;4;21;"CHI";103;0,488240218446003;0,365601373237311;0,771184887026044;11;34;21;5;13;6;19;-2
"MIA";94;0,507084812009413;0,360918397495505;0,728314363770489;8;27;19;8;13;3;20;"ORL";94;0,483261980448704;0,379650107900813;0,726151968522745;8;32;19;6;14;3;20;-1
"DEN";101;0,477729692818122;0,315876699377503;0,735439048053955;13;32;20;6;14;4;24;"LAL";102;0,460909136406718;0,357035666978168;0,737663264172863;12;30;20;7;12;4;21;-8
