"HOME";"All points";"Two points";"Thre points";"Free throws";"Attack jumps";"Defending jumps";"Assissts";"Stolen balls";"Lost balls";"Blockages fouls";"Personal fouls";"AWAY";"All points";"Two points";"Thre points";"Free throws";"Attack jumps";"Defending jumps";"Assissts";"Stolen balls";"Lost balls";"Blockages fouls";"Personal fouls";"WINNER"
"MIA";97;0,496923707835802;0,394892839045013;0,716985021413112;8;29;23;9;13;3;21;"MIL";91;0,481853077931732;0,292824295587453;0,756455175259523;11;31;21;9;16;5;23;0
"CLE";106;0,478850608354448;0,38071993047113;0,808575856401943;10;30;21;6;12;4;16;"DEN";101;0,473748000013429;0,327802029271871;0,735602977667494;12;31;20;6;14;4;25;0
"POR";104;0,492404810624869;0,383381722095977;0,790556921753847;12;34;23;5;13;5;21;"NOP";104;0,497521021143333;0,3675296629373;0,732097366350825;12;31;23;8;11;7;22;1
"SAS";95;0,478690061708984;0,310822324270904;0,802265713947538;9;34;22;7;14;4;20;"PHI";88;0,450384080069988;0,306800980964664;0,642753471166515;10;28;19;9;18;5;22;1
"UTA";97;0,516008155822305;0,328987285191995;0,757191603689282;10;30;21;6;13;4;18;"OKC";88;0,458429067656804;0,309442401293088;0,656799652502905;10;32;18;5;15;5;22;1
"DEN";102;0,482137975998486;0,329349807175055;0,738977913582019;12;31;20;6;13;4;24;"OKC";89;0,458879578935951;0,31908395570867;0,661661217694989;10;32;19;5;14;4;22;1
"MIN";102;0,463661290765516;0,374337068160598;0,759272236254583;12;29;20;8;15;3;21;"NYK";95;0,478171021581707;0,430498129261318;0,776340824638038;10;27;21;6;13;3;24;1
"ATL";102;0,514387868844844;0,359563382745201;0,763175811246028;9;30;24;8;13;5;19;"DET";92;0,436965807342202;0,339820917311953;0,685093464128949;12;33;17;5;12;4;20;1
"PHI";89;0,458420299825223;0,297938015538186;0,645656752667622;10;29;19;9;17;5;22;"PHX";105;0,506261581263739;0,335710686544947;0,82884430440763;9;32;20;7;14;4;24;0
"POR";104;0,49105361608867;0,398308245254645;0,792858996456178;11;34;24;5;14;5;20;"CHI";100;0,493377874912186;0,36071595320122;0,7329292162796;10;32;22;6;13;5;20;1
"UTA";96;0,509248556156925;0,332709389708385;0,750784402851119;10;30;21;6;14;5;19;"NOP";103;0,495208214537852;0,352546757006896;0,756756476931865;11;30;22;8;10;6;22;0
"LAL";102;0,477792289643342;0,292113296367498;0,745479671761742;12;28;19;7;12;3;23;"DEN";103;0,485236312507202;0,334727037117631;0,733386169792073;11;32;21;6;13;5;24;0
"OKC";89;0,459051448214459;0,301637467496533;0,662458565407132;10;32;18;5;14;5;22;"GSW";106;0,53657375755409;0,377792530857715;0,792380230601012;8;35;25;8;17;6;21;0
"TOR";106;0,489616769570339;0,35063526685206;0,801130739543633;10;29;19;8;11;4;22;"PHX";104;0,503538541089431;0,345038541568019;0,826816578971461;10;32;20;7;14;3;23;1
"DEN";103;0,486808459957516;0,346532248752086;0,733911496288406;12;32;21;6;13;5;24;"CHI";100;0,492810635768788;0,364842714996613;0,739239790027514;9;32;22;6;13;5;20;1
"ATL";103;0,514871079119819;0,357835682835683;0,774157813135779;9;30;24;8;13;5;20;"TOR";108;0,492195777385147;0,359443490441233;0,804287680139714;10;29;19;8;11;5;22;0
"CHA";94;0,46488328418014;0,328127519947373;0,711433678323424;9;32;21;5;10;4;18;"POR";104;0,490170893068459;0,390121579959402;0,797137438710836;12;35;23;5;13;5;20;0
"PHX";105;0,503813414017373;0,355973632720018;0,825735780880983;10;32;20;7;14;4;23;"DEN";104;0,486149434421886;0,344763432168614;0,735964455359375;12;31;20;6;13;5;24;1
"HOU";96;0,475358827078961;0,353254274198364;0,700950518075804;11;31;19;9;16;5;23;"LAC";103;0,521357669118657;0,376643107891185;0,763566910962548;7;30;23;7;11;4;21;0
"POR";104;0,487614922396608;0,383596124069082;0,792455237680298;12;35;23;5;13;5;19;"MEM";100;0,484408734374431;0,373006605107998;0,791822585647713;10;32;21;8;12;3;19;0
"DET";91;0,438879273665375;0,345716042953434;0,66439096507208;12;31;18;6;13;4;20;"GSW";107;0,536360407489351;0,384821046494934;0,778435114153404;8;36;25;7;16;6;21;0
"NYK";93;0,478586032383631;0,386244849304985;0,763269960651282;11;28;20;6;14;3;24;"MIA";96;0,496939423779705;0,386997545027436;0,7460841820542;8;28;20;8;13;3;20;0
"UTA";95;0,505215875033495;0,327832611748497;0,738212303708638;10;30;20;6;14;4;18;"DEN";105;0,488786411393856;0,346973982919731;0,743190474836511;12;32;21;7;13;5;24;0
"ATL";103;0,521426983678033;0,370378374230676;0,787333174471522;8;30;25;8;13;5;19;"BOS";103;0,519366043054729;0,319739766053193;0,769586332419674;11;31;25;8;14;3;21;1
"SAC";101;0,493409658036994;0,329837884662446;0,796487714474461;11;33;19;6;15;4;23;"TOR";108;0,49078291119934;0,361965737328306;0,80338958837381;10;30;20;8;11;4;23;0
"HOU";97;0,481916724715574;0,355774893690108;0,707789349400715;12;31;20;9;16;5;23;"MEM";100;0,492674687088639;0,352928948130186;0,772478394767397;10;31;22;8;12;3;19;1
"MIA";96;0,510890598915293;0,369881656186004;0,738185939603734;7;28;20;8;13;3;20;"ATL";104;0,524368253545712;0,376826705158283;0,792170353466803;8;30;25;8;13;5;19;0
"MIL";98;0,486002367100528;0,340839790695467;0,782497463708848;11;30;22;9;15;4;22;"DAL";110;0,542214048236973;0,345314381038389;0,766821328147918;11;30;24;7;11;5;20;0
"WAS";98;0,489369672472756;0,371939404410721;0,732015045811659;10;32;25;7;13;4;22;"LAL";103;0,474871949708681;0,332120327679415;0,747632535806321;12;29;20;7;12;4;23;1
"GSW";106;0,533421113313508;0,383776583042261;0,761295991084797;9;36;26;8;16;6;20;"NOP";100;0,481520946308593;0,326221009559655;0,732189918946582;12;30;21;8;11;6;21;1
"MEM";100;0,491512242257349;0,356283564895264;0,776356050103526;10;31;21;8;12;3;19;"SAS";100;0,489210039375925;0,366225649751218;0,796178961070484;9;35;24;7;13;5;19;0
"MIN";100;0,460860288902196;0,335511384040796;0,74222651579514;12;28;21;9;14;3;22;"HOU";98;0,486300970325509;0,356786741390629;0,714679892980643;12;31;20;9;16;5;23;0
