"HOME";"All points";"Two points";"Thre points";"Free throws";"Attack jumps";"Defending jumps";"Assissts";"Stolen balls";"Lost balls";"Blockages fouls";"Personal fouls";"AWAY";"All points";"Two points";"Thre points";"Free throws";"Attack jumps";"Defending jumps";"Assissts";"Stolen balls";"Lost balls";"Blockages fouls";"Personal fouls";"WINNER"
"IND";91;0,469249597113479;0,331488095238095;0,734780844155844;12;34;20;4;17;7;20;"MIL";95;0,45540723383726;0,404356060606061;0,78422619047619;10;32;22;10;17;7;23;0
"LAL";102;0,456333508382059;0,323681318681319;0,760172965246136;13;26;19;7;14;3;27;"PHX";104;0,51389251680422;0,292562724014337;0,785642404190791;10;34;20;5;11;5;24;0
"MIA";104;0,508956007285772;0,40625;0,731423031174471;11;27;22;9;15;2;21;"HOU";105;0,479779544347601;0,443060098638192;0,734412698412698;10;32;21;8;17;5;24;0
"NYK";88;0,447239422084623;0,427450980392157;0,773348813209494;11;26;22;7;14;2;24;"WAS";101;0,528331556503198;0,401596941070625;0,709103944301313;7;29;24;10;14;2;22;0
"POR";97;0,490723393364047;0,326180862560173;0,76758031442242;12;33;21;6;12;5;21;"CLE";95;0,423572097378277;0,33452380952381;0,838167388167388;14;27;19;6;14;3;17;1
"TOR";104;0,481169114823349;0,251558253574383;0,768429487179487;13;28;18;7;9;5;23;"OKC";90;0,507346608194066;0,268850931677019;0,703989351571894;9;33;20;5;16;3;23;1
"BOS";107;0,542539780625831;0,285772614482292;0,794987922705314;15;30;24;8;16;5;24;"TOR";105;0,483526841154454;0,288746602859506;0,779960981047938;11;26;18;8;8;5;22;0
"BKN";103;0,524590163934426;0,374216268094987;0,789295070254823;9;33;20;6;13;4;21;"MIN";100;0,455664568678267;0,411274509803922;0,749220187246134;13;32;21;8;14;3;23;0
"CHA";91;0,460378632910047;0,306984126984127;0,741261420571765;9;33;22;7;13;5;18;"MIA";101;0,501710260374072;0,361363636363636;0,746428747520222;10;28;22;8;13;3;22;1
"DET";89;0,431860088607331;0,275296740769887;0,65139684876527;12;34;18;3;10;4;20;"NYK";89;0,443505823381984;0,431960784313726;0,778679050567595;11;27;22;6;13;3;24;1
"GSW";109;0,55028321812596;0,404068141367913;0,846354166666667;7;34;25;10;20;5;24;"LAC";102;0,5000460922421;0,338099187788418;0,810658178422884;8;25;23;8;11;4;21;1
"MIL";93;0,445406868150889;0,363484848484848;0,797380952380952;12;32;21;10;17;6;24;"CHI";102;0,517755054941639;0,37629850397382;0,776830065359477;8;34;21;6;15;7;21;0
"PHX";101;0,511114013443376;0,310240655401946;0,809466304305014;9;33;19;6;12;5;23;"MEM";93;0,470623035227921;0,344588208489137;0,750881424410836;9;32;20;8;14;2;21;0
"SAC";103;0,471721054295119;0,297777777777778;0,815563415308096;12;34;18;7;16;4;26;"DEN";98;0,469938755576674;0,262248168498169;0,782282502443793;11;29;20;4;15;6;29;1
"UTA";103;0,533966717869944;0,307920227920228;0,81899881164587;12;29;21;6;14;4;19;"CLE";96;0,424821930176565;0,344642857142857;0,841125541125541;12;26;16;6;13;3;18;1
